ip.src	ip.dst	ip.proto
65.55.5.232	192.168.3.131	6.0
192.168.3.131	65.55.5.231	6.0
192.168.3.131	65.54.95.140	6.0
65.54.95.140	192.168.3.131	6.0
192.168.3.131	65.54.95.140	6.0
192.168.3.131	65.54.95.140	6.0
65.54.95.140	192.168.3.131	6.0
65.54.95.140	192.168.3.131	6.0
192.168.3.131	65.54.95.140	6.0
192.168.3.131	65.55.239.163	6.0
192.168.3.131	206.108.207.139	6.0
65.54.95.140	192.168.3.131	6.0
192.168.3.131	184.24.133.32	6.0
192.168.3.131	63.215.202.48	6.0
192.168.3.131	65.55.5.232	6.0
63.215.202.48	192.168.3.131	6.0
192.168.3.131	63.215.202.48	6.0
192.168.3.131	63.215.202.48	6.0
192.168.3.131	65.54.95.140	6.0
63.215.202.48	192.168.3.131	6.0
192.168.3.131	72.14.213.138	6.0
72.14.213.138	192.168.3.131	6.0
192.168.3.131	63.215.202.49	6.0
63.215.202.49	192.168.3.131	6.0
192.168.3.131	63.215.202.49	6.0
192.168.3.131	63.215.202.49	6.0
192.168.3.131	63.215.202.48	6.0
63.215.202.49	192.168.3.131	6.0
63.215.202.49	192.168.3.131	6.0
63.215.202.49	192.168.3.131	6.0
192.168.3.131	63.215.202.49	6.0
192.168.3.131	65.55.5.232	6.0
192.168.3.131	72.14.213.138	6.0
65.55.5.232	192.168.3.131	6.0
192.168.3.131	65.55.5.232	6.0
192.168.3.131	72.14.213.101	6.0
72.14.213.101	192.168.3.131	6.0
192.168.3.131	72.14.213.101	6.0
192.168.3.131	72.14.213.101	6.0
192.168.3.131	72.14.213.101	6.0
72.14.213.101	192.168.3.131	6.0
72.14.213.101	192.168.3.131	6.0
192.168.3.131	65.55.17.37	6.0
192.168.3.131	65.55.17.37	6.0
72.14.213.101	192.168.3.131	6.0
192.168.3.131	72.14.213.147	6.0
65.55.17.37	192.168.3.131	6.0
192.168.3.131	65.55.17.37	6.0
192.168.3.131	65.55.17.37	6.0
65.55.17.37	192.168.3.131	6.0
72.14.213.147	192.168.3.131	6.0
72.14.213.147	192.168.3.131	6.0
72.14.213.147	192.168.3.131	6.0
72.14.213.147	192.168.3.131	6.0
72.14.213.147	192.168.3.131	6.0
192.168.3.131	72.14.213.147	6.0
65.55.17.37	192.168.3.131	6.0
192.168.3.131	65.55.17.37	6.0
192.168.3.131	65.55.17.37	6.0
65.55.17.37	192.168.3.131	6.0
192.168.3.131	65.55.17.37	6.0
192.168.3.131	65.54.95.140	6.0
192.168.3.131	207.46.216.54	6.0
192.168.3.131	65.54.95.142	6.0
192.168.3.131	66.235.139.121	6.0
192.168.3.131	65.55.17.37	6.0
65.54.95.140	192.168.3.131	6.0
207.46.216.54	192.168.3.131	6.0
192.168.3.131	207.46.216.54	6.0
192.168.3.131	207.46.216.54	6.0
65.54.95.142	192.168.3.131	6.0
192.168.3.131	65.54.95.142	6.0
192.168.3.131	65.54.95.142	6.0
65.55.17.37	192.168.3.131	6.0
207.46.216.54	192.168.3.131	6.0
65.54.95.142	192.168.3.131	6.0
65.54.95.142	192.168.3.131	6.0
65.54.95.142	192.168.3.131	6.0
192.168.3.131	65.54.95.142	6.0
66.235.139.121	192.168.3.131	6.0
72.14.213.147	192.168.3.131	6.0
72.14.213.147	192.168.3.131	6.0
